,label_name,recommendedDisplayRGBValue,Model,Structure JSON,label_id,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,AnatomicRegionSequence.CodingSchemeDesignator,AnatomicRegionSequence.CodeValue,AnatomicRegionSequence.CodeMeaning,AnatomicRegionModifierSequence.CodingSchemeDesignator,AnatomicRegionModifierSequence.CodeValue,AnatomicRegionModifierSequence.CodeMeaning
48,lung_lower_lobe_left,"[242, 150, 232]",organs,"lung_lower_lobe_left: ""9"",",9,SCT,123037004,Anatomical Structure,SCT,90572001,Lower lobe of lung,SCT,7771000.0,Left,,,,,,
49,lung_lower_lobe_right,"[212, 191, 32]",organs,"lung_lower_lobe_right: ""10"",",10,SCT,123037004,Anatomical Structure,SCT,90572001,Lower lobe of lung,SCT,24028007.0,Right,,,,,,
50,lung_middle_lobe_right,"[202, 164, 140]",organs,"lung_middle_lobe_right: ""11"",",11,SCT,123037004,Anatomical Structure,SCT,72481006,Middle lobe of right lung,,,,,,,,,
51,lung_upper_lobe_left,"[112, 162, 95]",organs,"lung_upper_lobe_left: ""12"",",12,SCT,123037004,Anatomical Structure,SCT,45653009,Upper lobe of lung,SCT,7771000.0,Left,,,,,,
52,lung_upper_lobe_right,"[173, 69, 44]",organs,"lung_upper_lobe_right: ""13"",",13,SCT,123037004,Anatomical Structure,SCT,45653009,Upper lobe of lung,SCT,24028007.0,Right,,,,,,
53,pancreas,"[249, 180, 111]",organs,"pancreas: ""14"",",14,SCT,123037004,Anatomical Structure,SCT,15776009,Pancreas,,,,,,,,,
54,spleen,"[157, 108, 162]",organs,"spleen: ""15"",",15,SCT,123037004,Anatomical Structure,SCT,78961009,Spleen,,,,,,,,,
55,stomach,"[160, 139, 76]",organs,"stomach: ""16"",",16,SCT,123037004,Anatomical Structure,SCT,69695003,Stomach,,,,,,,,,
56,thyroid_left,,organs,"thyroid_left: ""17"",",17,SCT,123037004,Anatomical Structure,SCT,69748006,Thyroid gland,SCT,7771000.0,Left,,,,,,
57,thyroid_right,,organs,"thyroid_right: ""18"",",18,SCT,123037004,Anatomical Structure,SCT,69748006,Thyroid gland,SCT,24028007.0,Right,,,,,,
