,label_name,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,AnatomicRegionSequence.CodingSchemeDesignator,AnatomicRegionSequence.CodeValue,AnatomicRegionSequence.CodeMeaning,AnatomicRegionModifierSequence.CodingSchemeDesignator_x,AnatomicRegionModifierSequence.CodeValue_x,AnatomicRegionModifierSequence.CodeMeaning_x,recommendedDisplayRGBValue,recommendedDisplayRGBValue.R,recommendedDisplayRGBValue.G,recommendedDisplayRGBValue.B,label_id,AnatomicRegionModifierSequence.CodeMeaning_y,AnatomicRegionModifierSequence.CodeValue_y,AnatomicRegionModifierSequence.CodingSchemeDesignator_y,AnatomicRegionModifierSequence.CodeMeaning_y,AnatomicRegionModifierSequence.CodeValue_y,AnatomicRegionModifierSequence.CodingSchemeDesignator_y
40,vertebrae_T3,SCT,123037004,Anatomical Structure,SCT,1626008,T3 vertebra,,,,,,,,,,"[30, 128, 188]",30.0,128.0,188.0,41,,,,,,
41,vertebrae_T2,SCT,123037004,Anatomical Structure,SCT,53733008,T2 vertebra,,,,,,,,,,"[141, 186, 216]",141.0,186.0,216.0,42,,,,,,
42,vertebrae_T1,SCT,123037004,Anatomical Structure,SCT,64864005,T1 vertebra,,,,,,,,,,"[0, 2, 145]",0.0,2.0,145.0,43,,,,,,
43,vertebrae_C7,SCT,123037004,Anatomical Structure,SCT,87391001,C7 vertebra,,,,,,,,,,"[255, 0, 0]",255.0,0.0,0.0,44,,,,,,
44,vertebrae_C6,SCT,123037004,Anatomical Structure,SCT,36054005,C6 vertebra,,,,,,,,,,"[253, 134, 125]",253.0,134.0,125.0,45,,,,,,
45,vertebrae_C5,SCT,123037004,Anatomical Structure,SCT,36978003,C5 vertebra,,,,,,,,,,"[118, 40, 9]",118.0,40.0,9.0,46,,,,,,
46,vertebrae_C4,SCT,123037004,Anatomical Structure,SCT,5329002,C4 vertebra,,,,,,,,,,"[250, 14, 116]",250.0,14.0,116.0,47,,,,,,
47,vertebrae_C3,SCT,123037004,Anatomical Structure,SCT,113205007,C3 vertebra,,,,,,,,,,"[167, 117, 152]",167.0,117.0,152.0,48,,,,,,
48,vertebrae_C2,SCT,123037004,Anatomical Structure,SCT,39976000,C2 vertebra,,,,,,,,,,"[193, 99, 36]",193.0,99.0,36.0,49,,,,,,
49,vertebrae_C1,SCT,123037004,Anatomical Structure,SCT,14806007,C1 vertebra,,,,,,,,,,"[255, 186, 107]",255.0,186.0,107.0,50,,,,,,
50,heart,SCT,123037004,Anatomical Structure,SCT,80891009,Heart,,,,,,,,,,"[239, 71, 111]",,,,51,,,,,,
51,aorta,SCT,123037004,Anatomical Structure,SCT,15825003,Aorta,,,,,,,,,,"[224, 97, 76]",224.0,97.0,76.0,52,,,,,,
52,pulmonary_vein,SCT,123037004,Anatomical Structure,SCT,122972007,Pulmonary vein,,,,,,,,,,"[7, 59, 76]",,,,53,,,,,,
53,brachiocephalic_trunk,SCT,123037004,Anatomical Structure,SCT,12691009,Brachiocephalic artery,,,,,,,,,,"[255, 141, 0]",,,,54,,,,,,
54,subclavian_artery_right,SCT,123037004,Anatomical Structure,SCT,29700009,Subclavian artery,SCT,24028007.0,Right,,,,,,,"[0, 168, 120]",,,,55,,,,,,
55,subclavian_artery_left,SCT,123037004,Anatomical Structure,SCT,29700009,Subclavian artery,SCT,7771000.0,Left,,,,,,,"[142, 68, 173]",,,,56,,,,,,
56,common_carotid_artery_right,SCT,123037004,Anatomical Structure,SCT,32062004,Common carotid artery,SCT,24028007.0,Right,,,,,,,"[255, 87, 51]",,,,57,,,,,,
57,common_carotid_artery_left,SCT,123037004,Anatomical Structure,SCT,32062004,Common carotid artery,SCT,7771000.0,Left,,,,,,,"[0, 121, 140]",,,,58,,,,,,
58,brachiocephalic_vein_left,SCT,123037004,Anatomical Structure,SCT,8887007,Brachiocephalic vein,SCT,7771000.0,Left,,,,,,,"[255, 195, 0]",,,,59,,,,,,
59,brachiocephalic_vein_right,SCT,123037004,Anatomical Structure,SCT,8887007,Brachiocephalic vein,SCT,24028007.0,Right,,,,,,,"[75, 0, 130]",,,,60,,,,,,
60,atrial_appendage_left,SCT,123037004,Anatomical Structure,SCT,68786006,Auricular appendage,SCT,7771000.0,Left,,,,,,,"[255, 68, 204]",,,,61,,,,,,
61,superior_vena_cava,SCT,123037004,Anatomical Structure,SCT,48345005,Superior vena cava,,,,,,,,,,"[0, 200, 83]",,,,62,,,,,,
62,inferior_vena_cava,SCT,123037004,Anatomical Structure,SCT,64131007,Inferior vena cava,,,,,,,,,,"[110, 165, 54]",110.0,165.0,54.0,63,,,,,,
63,portal_vein_and_splenic_vein,SCT,123037004,Anatomical Structure,SCT,110765007,Portal vein and splenic vein,,,,,,,,,,"[0, 151, 206]",0.0,151.0,206.0,64,,,,,,
64,iliac_artery_left,SCT,123037004,Anatomical Structure,SCT,73634005,Common iliac artery,SCT,7771000.0,Left,,,,,,,"[217, 162, 48]",217.0,162.0,48.0,65,,,,,,
65,iliac_artery_right,SCT,123037004,Anatomical Structure,SCT,73634005,Common iliac artery,SCT,24028007.0,Right,,,,,,,"[217, 162, 48]",217.0,162.0,48.0,66,,,,,,
66,iliac_vena_left,SCT,123037004,Anatomical Structure,SCT,46027005,Common iliac vein,SCT,7771000.0,Left,,,,,,,"[197, 174, 37]",197.0,174.0,37.0,67,,,,,,
67,iliac_vena_right,SCT,123037004,Anatomical Structure,SCT,46027005,Common iliac vein,SCT,24028007.0,Right,,,,,,,"[197, 174, 37]",197.0,174.0,37.0,68,,,,,,
68,humerus_left,SCT,123037004,Anatomical Structure,SCT,85050009,Humerus,SCT,7771000.0,Left,,,,,,,"[95, 229, 185]",95.0,229.0,185.0,69,,,,,,
69,humerus_right,SCT,123037004,Anatomical Structure,SCT,85050009,Humerus,SCT,24028007.0,Right,,,,,,,"[95, 229, 185]",95.0,229.0,185.0,70,,,,,,
70,scapula_left,SCT,123037004,Anatomical Structure,SCT,79601000,Scapula,SCT,7771000.0,Left,,,,,,,"[199, 204, 131]",199.0,204.0,131.0,71,,,,,,
71,scapula_right,SCT,123037004,Anatomical Structure,SCT,79601000,Scapula,SCT,24028007.0,Right,,,,,,,"[199, 204, 131]",199.0,204.0,131.0,72,,,,,,
72,clavicula_left,SCT,123037004,Anatomical Structure,SCT,51299004,Clavicle,SCT,7771000.0,Left,,,,,,,"[241, 188, 38]",241.0,188.0,38.0,73,,,,,,
73,clavicula_right,SCT,123037004,Anatomical Structure,SCT,51299004,Clavicle,SCT,24028007.0,Right,,,,,,,"[241, 188, 38]",241.0,188.0,38.0,74,,,,,,
74,femur_left,SCT,123037004,Anatomical Structure,SCT,71341001,Femur,SCT,7771000.0,Left,,,,,,,"[130, 222, 207]",130.0,222.0,207.0,75,,,,,,
75,femur_right,SCT,123037004,Anatomical Structure,SCT,71341001,Femur,SCT,24028007.0,Right,,,,,,,"[130, 222, 207]",130.0,222.0,207.0,76,,,,,,
76,hip_left,SCT,123037004,Anatomical Structure,SCT,29836001,Hip,SCT,7771000.0,Left,,,,,,,"[241, 214, 145]",241.0,214.0,145.0,77,,,,,,
77,hip_right,SCT,123037004,Anatomical Structure,SCT,29836001,Hip,SCT,24028007.0,Right,,,,,,,"[241, 214, 145]",241.0,214.0,145.0,78,,,,,,
78,spinal_cord,SCT,123037004,Anatomical Structure,SCT,2748008,Spinal cord,,,,,,,,,,"[131, 56, 236]",,,,79,,,,,,
79,gluteus_maximus_left,SCT,123037004,Anatomical Structure,SCT,181674001,Gluteus maximus muscle,SCT,7771000.0,Left,,,,,,,"[192, 104, 88]",192.0,104.0,88.0,80,,,,,,
80,gluteus_maximus_right,SCT,123037004,Anatomical Structure,SCT,181674001,Gluteus maximus muscle,SCT,24028007.0,Right,,,,,,,"[192, 104, 88]",192.0,104.0,88.0,81,,,,,,
81,gluteus_medius_left,SCT,123037004,Anatomical Structure,SCT,78333006,Gluteus medius muscle,SCT,7771000.0,Left,,,,,,,"[192, 104, 88]",192.0,104.0,88.0,82,,,,,,
82,gluteus_medius_right,SCT,123037004,Anatomical Structure,SCT,78333006,Gluteus medius muscle,SCT,24028007.0,Right,,,,,,,"[192, 104, 88]",192.0,104.0,88.0,83,,,,,,
83,gluteus_minimus_left,SCT,123037004,Anatomical Structure,SCT,75297007,Gluteus minius muscle,SCT,7771000.0,Left,,,,,,,"[192, 104, 88]",192.0,104.0,88.0,84,,,,,,
84,gluteus_minimus_right,SCT,123037004,Anatomical Structure,SCT,75297007,Gluteus minius muscle,SCT,24028007.0,Right,,,,,,,"[192, 104, 88]",192.0,104.0,88.0,85,,,,,,
85,autochthon_left,SCT,123037004,Anatomical Structure,SCT,244849004,Deep muscle of back,SCT,7771000.0,Left,,,,,,,"[192, 104, 88]",192.0,104.0,88.0,86,,,,,,
86,autochthon_right,SCT,123037004,Anatomical Structure,SCT,244849004,Deep muscle of back,SCT,24028007.0,Right,,,,,,,"[192, 104, 88]",192.0,104.0,88.0,87,,,,,,
87,iliopsoas_left,SCT,123037004,Anatomical Structure,SCT,68455001,Iliopsoas muscle,SCT,7771000.0,Left,,,,,,,"[192, 104, 88]",192.0,104.0,88.0,88,,,,,,
88,iliopsoas_right,SCT,123037004,Anatomical Structure,SCT,68455001,Iliopsoas muscle,SCT,24028007.0,Right,,,,,,,"[192, 104, 88]",192.0,104.0,88.0,89,,,,,,
89,brain,SCT,123037004,Anatomical Structure,SCT,12738006,Brain,,,,,,,,,,"[250, 250, 225]",250.0,250.0,225.0,90,,,,,,
90,skull,SCT,123037004,Anatomical Structure,SCT,89546000,Skull,,,,,,,,,,"[255, 111, 97]",,,,91,,,,,,
91,rib_right_4,SCT,123037004,Anatomical Structure,SCT,25523003,Fourth rib,SCT,24028007.0,Right,,,,,,,"[73, 228, 202]",73.0,228.0,202.0,92,,,,,,
92,rib_right_3,SCT,123037004,Anatomical Structure,SCT,25888004,Third rib,SCT,24028007.0,Right,,,,,,,"[30, 128, 188]",30.0,128.0,188.0,93,,,,,,
93,rib_left_1,SCT,123037004,Anatomical Structure,SCT,48535007,First rib,SCT,7771000.0,Left,,,,,,,"[0, 2, 145]",0.0,2.0,145.0,94,,,,,,
94,rib_left_2,SCT,123037004,Anatomical Structure,SCT,78247007,Second rib,SCT,7771000.0,Left,,,,,,,"[141, 186, 216]",141.0,186.0,216.0,95,,,,,,
95,rib_left_3,SCT,123037004,Anatomical Structure,SCT,25888004,Third rib,SCT,7771000.0,Left,,,,,,,"[30, 128, 188]",30.0,128.0,188.0,96,,,,,,
96,rib_left_4,SCT,123037004,Anatomical Structure,SCT,25523003,Fourth rib,SCT,7771000.0,Left,,,,,,,"[73, 228, 202]",73.0,228.0,202.0,97,,,,,,
